T01001	hsa; Homo sapiens (human)
T01005	ptr; Pan troglodytes (chimpanzee)
T02283	pps; Pan paniscus (bonobo)
T02442	ggo; Gorilla gorilla gorilla (western lowland gorilla)
T01416	pon; Pongo abelii (Sumatran orangutan)
T10128	ppyg; Pongo pygmaeus (Bornean orangutan)
T03265	nle; Nomascus leucogenys (northern white-cheeked gibbon)
T08803	hmh; Hylobates moloch (silvery gibbon)
T10134	ssyn; Symphalangus syndactylus (siamang)
T01028	mcc; Macaca mulatta (rhesus monkey)
T02918	mcf; Macaca fascicularis (crab-eating macaque)
T08579	mthb; Macaca thibetana thibetana (Pere David's macaque)
T08765	mni; Macaca nemestrina (pig-tailed macaque)
T04361	csab; Chlorocebus sabaeus (green monkey)
T07242	caty; Cercocebus atys (sooty mangabey)
T07474	panu; Papio anubis (olive baboon)
T08041	tge; Theropithecus gelada (gelada)
T08763	mleu; Mandrillus leucophaeus (drill)
T03989	rro; Rhinopithecus roxellana (golden snub-nosed monkey)
T04641	rbb; Rhinopithecus bieti (black snub-nosed monkey)
T07225	tfn; Trachypithecus francoisi (Francois's langur)
T07491	pteh; Piliocolobus tephrosceles (Ugandan red Colobus)
T08744	cang; Colobus angolensis palliatus (Angola colobus)
T03264	cjc; Callithrix jacchus (white-tufted-ear marmoset)
T04350	sbq; Saimiri boliviensis boliviensis (Bolivian squirrel monkey)
T08783	cimi; Cebus imitator (Panamanian white-faced capuchin)
T10127	anan; Aotus nancymaae (Ma's night monkey)
T07836	csyr; Carlito syrichta (Philippine tarsier)
T07238	mmur; Microcebus murinus (gray mouse lemur)
T08326	lcat; Lemur catta (Ring-tailed lemur)
T11398	eruf; Eulemur rufifrons (Bennett's brown lemur)
T08746	pcoq; Propithecus coquereli (Coquerel's sifaka)
T07855	oga; Otolemur garnettii (small-eared galago)
T01002	mmu; Mus musculus (house mouse)
T05910	mcal; Mus caroli (Ryukyu mouse)
T05929	mpah; Mus pahari (shrew mouse)
T01003	rno; Rattus norvegicus (rat)
T07224	mcoc; Mastomys coucha (southern multimammate mouse)
T08817	anu; Arvicanthis niloticus (African grass rat)
T10613	asyl; Apodemus sylvaticus (European woodmouse)
T12044	mmiu; Micromys minutus (European harvest mouse)
T05884	mun; Meriones unguiculatus (Mongolian gerbil)
T02813	cge; Cricetulus griseus (Chinese hamster)
T08306	maua; Mesocricetus auratus (golden hamster)
T08852	prob; Phodopus roborovskii (desert hamster)
T07241	pleu; Peromyscus leucopus (white-footed mouse)
T11302	pmav; Peromyscus maniculatus bairdii (prairie deer mouse)
T08307	morg; Microtus oregoni (creeping vole)
T08493	mfot; Alexandromys fortis (reed vole)
T08327	aamp; Arvicola amphibius (Eurasian water vole)
T11437	cnl; Chionomys nivalis (European snow vole)
T03372	ngi; Nannospalax galili (Upper Galilee mountains blind mole rat)
T02812	hgl; Heterocephalus glaber (naked mole-rat)
T07777	cpoc; Cavia porcellus (domestic guinea pig)
T04791	ccan; Castor canadensis (American beaver)
T07834	dord; Dipodomys ordii (Ord's kangaroo rat)
T07891	dsp; Dipodomys spectabilis (banner-tailed kangaroo rat)
T11079	dmer; Dipodomys merriami (Merriam's kangaroo rat)
T08928	plop; Perognathus longimembris pacificus (Pacific pocket mouse)
T08117	ncar; Sciurus carolinensis (gray squirrel)
T11892	svul; Sciurus vulgaris (Eurasian red squirrel)
T09644	mmma; Marmota marmota marmota (Alpine marmot)
T10664	iti; Ictidomys tridecemlineatus (thirteen-lined ground squirrel)
T11988	scil; Spermophilus citellus (European ground squirrel)
T11987	mave; Muscardinus avellanarius (hazel dormouse)
T03373	ocu; Oryctolagus cuniculus (rabbit)
T07609	opi; Ochotona princeps (American pika)
T11174	ocz; Ochotona curzoniae (black-lipped pika)
T02978	tup; Tupaia belangeri chinensis (Chinese tree shrew)
T08727	gvr; Galeopterus variegatus (Sunda flying lemur)
T01007	cfa; Canis lupus familiaris (dog)
T08371	clud; Canis lupus dingo (dingo)
T05911	vvp; Vulpes vulpes (red fox)
T07435	vlg; Vulpes lagopus (Arctic fox)
T09008	npo; Nyctereutes procyonoides (raccoon dog)
T01329	aml; Ailuropoda melanoleuca (giant panda)
T03271	umr; Ursus maritimus (polar bear)
T05909	uah; Ursus arctos (brown bear)
T07931	uar; Ursus americanus (American black bear)
T05871	elk; Enhydra lutris kenyoni (northern sea otter)
T08100	llv; Lutra lutra (Eurasian river otter)
T07239	mpuf; Mustela putorius furo (domestic ferret)
T09425	mnp; Mustela nigripes (black-footed ferret)
T09578	mlk; Mustela lutreola (European mink)
T08764	nvs; Neogale vison (American mink)
T12008	mmaq; Martes martes (European pine marten)
T05148	oro; Odobenus rosmarus divergens (Pacific walrus)
T07240	eju; Eumetopias jubatus (Steller sea lion)
T07874	zca; Zalophus californianus (California sea lion)
T07472	mlx; Mirounga leonina (Southern elephant seal)
T11530	mano; Mirounga angustirostris (Northern elephant seal)
T08474	nsu; Neomonachus schauinslandi (Hawaiian monk seal)
T08708	lww; Leptonychotes weddellii (Weddell seal)
T02385	fca; Felis catus (domestic cat)
T07555	pyu; Herpailurus yagouaroundi (jaguarundi)
T08890	pcoo; Puma concolor (puma)
T07574	pbg; Prionailurus bengalensis (leopard cat)
T09889	pviv; Prionailurus viverrinus (fishing cat)
T08475	lruf; Lynx rufus (bobcat)
T10761	lgf; Leopardus geoffroyi (Geoffroy's cat)
T04657	aju; Acinonyx jubatus (cheetah)
T02988	ptg; Panthera tigris altaica (Amur tiger)
T06062	ppad; Panthera pardus (leopard)
T08832	puc; Panthera uncia (snow leopard)
T10741	plez; Panthera leo (lion)
T07257	hhv; Hyaena hyaena (striped hyena)
T11532	ccru; Crocuta crocuta (spotted hyena)
T01008	bta; Bos taurus (cow)
T02919	bom; Bos mutus (wild yak)
T04792	biu; Bos indicus (zebu cattle)
T11659	bjv; Bos javanicus (banteng)
T05912	bbub; Bubalus bubalis (water buffalo)
T11435	bke; Bubalus kerabau (carabao)
T08726	bbis; Bison bison bison (American bison)
T02910	chx; Capra hircus (goat)
T03117	oas; Ovis aries (sheep)
T11679	ocan; Ovis canadensis (bighorn sheep)
T08909	btax; Budorcas taxicolor (takin)
T10522	csum; Capricornis sumatraensis (Sumatran serow)
T07255	oda; Oryx dammah (scimitar-horned oryx)
T07554	ccad; Cervus canadensis (wapiti)
T10466	mree; Muntiacus reevesi (Reeves' muntjac)
T10722	ovr; Odocoileus virginianus (white-tailed deer)
T09065	mbez; Moschus berezovskii (Chinese forest musk deer)
T01009	ssc; Sus scrofa (pig)
T02979	cfr; Camelus ferus (Wild Bactrian camel)
T07534	cbai; Camelus bactrianus (Bactrian camel)
T04642	cdk; Camelus dromedarius (Arabian camel)
T08098	vpc; Vicugna pacos (alpaca)
T03086	bacu; Balaenoptera acutorostrata scammoni (minke whale)
T09887	bmus; Balaenoptera musculus (blue whale)
T03090	lve; Lipotes vexillifer (Yangtze River dolphin)
T05247	oor; Orcinus orca (killer whale)
T10760	lalb; Lagenorhynchus albirostris (white-beaked dolphin)
T11080	gmf; Globicephala melas (long-finned pilot whale)
T11117	ddp; Delphinus delphis (saddleback dolphin)
